rank,selection_reason,seed,text_id,sent_id,excerpt,gold_labels,standard_labels,decoded_labels,added_labels,removed_labels,removed_opposite_false_positives,gained_true_positives,sample_f1_standard,sample_f1_decoded,sample_f1_delta,top_probabilities
1,adds_two_nearby_true_values,11,TR_032,6,"Berkun Meral pointed out that fake advertisements and websites are designed with elements such as discounts and vacation opportunities that consumers tend to be easily persuaded, ""In the past months, a domestic cyber...",Security: societal | Conformity: rules,Security: personal,Security: personal | Security: societal | Conformity: rules,Security: societal | Conformity: rules,,,Security: societal | Conformity: rules,0.0,0.8,0.8,Security: personal=0.3301 | Security: societal=0.2700 | Self-direction: action=0.0906 | Conformity: rules=0.0869 | Benevolence: caring=0.0552
2,adds_true_value_and_removes_opposite_false_positive,1701,EL_298,7,"He stressed that the countries of the region should eventually join the EU, of course within the framework of conditionality, and expressed the hope that Bosnia and Herzegovina will take the necessary steps to help it...",Conformity: interpersonal,Self-direction: action | Conformity: rules,Conformity: rules | Conformity: interpersonal,Conformity: interpersonal,Self-direction: action,Self-direction: action,Conformity: interpersonal,0.0,0.6666666666666666,0.6666666666666666,Self-direction: action=0.3566 | Conformity: rules=0.3078 | Conformity: interpersonal=0.1428 | Power: dominance=0.1330 | Benevolence: dependability=0.0719
3,removes_two_opposite_false_positives,11,HE_194,26,"""The gaps have not changed"" While in the field of regulatory reform it is possible to mark the progress of the parties towards a compromise, when it comes to raising the retirement age for women the parties are at an...",Power: dominance,Power: dominance | Benevolence: dependability | Universalism: concern,Power: dominance,,Benevolence: dependability | Universalism: concern,Benevolence: dependability | Universalism: concern,,0.5,1.0,0.5,Universalism: concern=0.3063 | Power: dominance=0.2335 | Benevolence: dependability=0.2009 | Achievement=0.0993 | Universalism: tolerance=0.0441
4,removes_opposite_false_positive,11,EL_075,2,"According to the World Economic Forum (WEF, 2023), within a 2-year horizon, 5 of the 10 most serious problems facing humanity will be related to climate change: natural disasters and extreme weather events, natural...",Universalism: nature,Security: societal | Universalism: nature,Universalism: nature,,Security: societal,Security: societal,,0.6666666666666666,1.0,0.3333333333333333,Universalism: nature=0.6071 | Security: societal=0.3106 | Universalism: concern=0.0781 | Benevolence: caring=0.0135 | Benevolence: dependability=0.0129
5,removes_opposite_false_positive,42,BG_039,18,"This year we made such organization in the summer and it gave good results,"" Marinov said.",Achievement,Achievement | Humility,Achievement,,Humility,Humility,,0.6666666666666666,1.0,0.3333333333333333,Achievement=0.9308 | Face=0.0388 | Humility=0.0204 | Hedonism=0.0129 | Security: personal=0.0093
6,adds_nearby_true_value,7,BG_123,23,"For 2,499 euros he offers would-be immigrants a package of tips for a successful start in Bulgaria as a ""tax-advantaged destination"", where one can easily get a chic villa and drive his Porsche.",Hedonism,Stimulation,Stimulation | Hedonism,Hedonism,,,Hedonism,0.0,0.6666666666666666,0.6666666666666666,Stimulation=0.5041 | Hedonism=0.3660 | Benevolence: caring=0.0578 | Self-direction: action=0.0465 | Achievement=0.0450
7,adds_nearby_true_value,7,DE_122,7,"Above all, he should be aware of his own interests.",Self-direction: thought,Self-direction: action,Self-direction: thought | Self-direction: action,Self-direction: thought,,,Self-direction: thought,0.0,0.6666666666666666,0.6666666666666666,Self-direction: action=0.5038 | Self-direction: thought=0.1310 | Benevolence: dependability=0.1128 | Conformity: interpersonal=0.0562 | Stimulation=0.0277
8,adds_nearby_true_value,7,HE_177,22,The purpose of the pilot is to touch the life of every minor prisoner and be an accurate answer to his needs and the circles that surround him.,Universalism: concern,Benevolence: caring,Benevolence: caring | Universalism: concern,Universalism: concern,,,Universalism: concern,0.0,0.6666666666666666,0.6666666666666666,Benevolence: caring=0.2742 | Universalism: concern=0.2678 | Benevolence: dependability=0.0730 | Achievement=0.0719 | Security: societal=0.0370
9,adds_nearby_true_value,11,IT_141,29,"Provided, however, that the allied countries ""remain united in maintaining and increasing sanctions pressure.""",Power: resources,Power: dominance,Power: dominance | Power: resources,Power: resources,,,Power: resources,0.0,0.6666666666666666,0.6666666666666666,Power: dominance=0.4537 | Benevolence: dependability=0.1452 | Power: resources=0.0965 | Security: societal=0.0287 | Self-direction: action=0.0198
10,adds_nearby_true_value,42,TR_235,18,The anticyanin substance also strengthens the immune system and helps prevent many diseases from influenza to cancer.,Security: personal,Security: societal,Security: personal | Security: societal,Security: personal,,,Security: personal,0.0,0.6666666666666666,0.6666666666666666,Security: societal=0.8579 | Security: personal=0.2546 | Achievement=0.0089 | Self-direction: action=0.0042 | Hedonism=0.0034
