method,seed,model_slug,geometry,family,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,random_seed,empirical_metric,alpha_neighbor,beta_opposite,gamma_cardinality,text_id,sent_id,text,gold_labels,standard_labels,decoded_labels,removed_labels,added_labels,removed_opposite_false_positives,lost_true_positives,gained_true_positives,sample_f1_standard,sample_f1_decoded,sample_f1_delta,top_probabilities
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,BG_119,13,"""We expect these clusters, these university networks to generate results in areas such as pragmatism of learning and know-how transfer,"" said Prof.",Stimulation,Achievement,Stimulation | Achievement,,Stimulation,,,Stimulation,0.0,0.6666666666666666,0.6666666666666666,Achievement=0.6452 | Stimulation=0.2902 | Self-direction: action=0.0302 | Self-direction: thought=0.0266 | Power: resources=0.0130
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,BG_123,23,"For 2,499 euros he offers would-be immigrants a package of tips for a successful start in Bulgaria as a ""tax-advantaged destination"", where one can easily get a chic villa and drive his Porsche.",Hedonism,Stimulation,Stimulation | Hedonism,,Hedonism,,,Hedonism,0.0,0.6666666666666666,0.6666666666666666,Stimulation=0.5041 | Hedonism=0.3660 | Benevolence: caring=0.0578 | Self-direction: action=0.0465 | Achievement=0.0450
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_002,2,The merger was intended to make Fiat Chrysler (FCA) and Renault the third largest car manufacturer.,Achievement,Power: resources,Achievement | Power: resources,,Achievement,,,Achievement,0.0,0.6666666666666666,0.6666666666666666,Achievement=0.2408 | Power: resources=0.2335 | Stimulation=0.0523 | Power: dominance=0.0217 | Self-direction: action=0.0129
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_051,30,"You are the spark that motivates me to become a better person.""",Self-direction: action,Self-direction: thought,Self-direction: thought | Self-direction: action,,Self-direction: action,,,Self-direction: action,0.0,0.6666666666666666,0.6666666666666666,Self-direction: action=0.3463 | Self-direction: thought=0.2533 | Stimulation=0.0460 | Face=0.0376 | Achievement=0.0330
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_122,7,"Above all, he should be aware of his own interests.",Self-direction: thought,Self-direction: action,Self-direction: thought | Self-direction: action,,Self-direction: thought,,,Self-direction: thought,0.0,0.6666666666666666,0.6666666666666666,Self-direction: action=0.5038 | Self-direction: thought=0.1310 | Benevolence: dependability=0.1128 | Conformity: interpersonal=0.0562 | Stimulation=0.0277
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,DE_196,19,"""For the first time, they are facing the possibility of a military conflict that many thought would never happen."" This fills many members of the Bundeswehr, but above all their families, with great uncertainty and fear.",Security: personal,Security: societal,Security: personal | Security: societal,,Security: personal,,,Security: personal,0.0,0.6666666666666666,0.6666666666666666,Security: societal=0.8872 | Security: personal=0.0742 | Universalism: concern=0.0347 | Self-direction: action=0.0192 | Achievement=0.0141
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,EL_153,3,"The Archbishop asked Enes Kanter what he thought of Greece, who replied that he had visited our country many times, that he felt that ""we are one family"".",Benevolence: caring,Benevolence: dependability,Benevolence: caring | Benevolence: dependability,,Benevolence: caring,,,Benevolence: caring,0.0,0.6666666666666666,0.6666666666666666,Benevolence: dependability=0.6017 | Benevolence: caring=0.1118 | Self-direction: action=0.0273 | Stimulation=0.0267 | Self-direction: thought=0.0236
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,EN_372,22,"“I know my own style,” says the mother of four.",Self-direction: thought,Self-direction: action,Self-direction: thought | Self-direction: action,,Self-direction: thought,,,Self-direction: thought,0.0,0.6666666666666666,0.6666666666666666,Self-direction: action=0.3683 | Self-direction: thought=0.1317 | Benevolence: dependability=0.0370 | Tradition=0.0332 | Conformity: interpersonal=0.0204
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_052,2,"The Israeli government adopted at its meeting this morning (Sunday) a comprehensive strategic outline, the first of its kind, to ensure the existence of the Jewish people in the Diaspora.",Security: societal,Tradition,Security: societal | Tradition,,Security: societal,,,Security: societal,0.0,0.6666666666666666,0.6666666666666666,Tradition=0.8587 | Security: societal=0.1780 | Achievement=0.1604 | Universalism: concern=0.1583 | Power: dominance=0.1002
bce,7,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,HE_177,22,The purpose of the pilot is to touch the life of every minor prisoner and be an accurate answer to his needs and the circles that surround him.,Universalism: concern,Benevolence: caring,Benevolence: caring | Universalism: concern,,Universalism: concern,,,Universalism: concern,0.0,0.6666666666666666,0.6666666666666666,Benevolence: caring=0.2742 | Universalism: concern=0.2678 | Benevolence: dependability=0.0730 | Achievement=0.0719 | Security: societal=0.0370
